,cmp,Publication.numbers,Title,English.abstract,Main.IPC.Code,category,concept,max_TFIDF
177,cmp,"WO2012127398
TW201249942
US2014004703
KR20140019401
TWI554578","
A chemical mechanical polishing (cmp) composition comprising a polymeric polyamine","
A chemical-mechanical polishing (CMP) composition comprising (A) inorganic particles, organic particles, or a composite or mixture thereof, (B) a polymeric polyamine or a salt thereof comprising at least one type of pendant group (Y) which comprises at least one moiety (Z), wherein (Z) is a carboxylate (-COOR1), sulfonate (-SO3R2), sulfate (-O-SO3R3), phos- phonate (-P(=O)(OR4)(OR5) ), phosphate (-O-P(=O)(OR6)(OR7) ), carboxylic acid (-COOH), sulfonic acid (-SO3H), sulfuric acid (-O-SO3-), phosphonic acid (-P(=O)(OH)2), phosphoric acid (-O-P(=O)(OH)2) moiety, or their deproto- nated forms, R1 is alkyl, aryl, alkylaryl, or arylalkyl R2 is alkyl, aryl, alkylaryl, or arylalkyl, R3 is alkyl, aryl, alkylaryl, or arylalkyl, R4 is alkyl, aryl, alkylaryl, or arylalkyl, R5 is H, alkyl, aryl, alkylaryl, or arylalkyl, R6 is alkyl, aryl, alkylaryl, or arylalkyl, R7 is H, alkyl, aryl, alkylaryl, or arylalkyl, and (C) an aqueous medium.",C09G-001/02,Process,total weight composit,0.023914645
178,cmp,"WO2012122186
WO2012122186
TW201249595
WO2012122186
SG193340
EP2684211
KR20140036160
CN103688343
US2014113532
JP2014510645
EP2684211
US9132526
US2016074993
CN103688343
EP2684211
US9616547","
Chemical mechanical planarization pad conditioner","
A pad conditioner for a CMP polishing pad is disclosed that includes a substrate that has a matrixical arrangement of protrusions that have a layer of poly crystalline diamond on at least their top surfaces.The protrusions may have varying shapes and elevations and may comprise a first set of protrusions and a second set of protrusions, the first set of protrusions have a first average height and the second set of protrusions have a second average height, the first average height different from the second average height, a top of each protrusion in the first set of protrusions has a non-flat surface and a top of each protrusion in the second set of protrusions has a non-flat surface.
 (From US9132526 B2)",B24B-053/00,Dresser,pad condition claim,0.026753785
179,cmp,"CN103286672
CN103286672","
SiC wafer polishing method capable of obtaining atomic step surface quickly","
The invention belongs to the technical field of semiconductor processing, in particular to a SiC wafer polishing method capable of obtaining atomic step surface quickly.According to the method provided by the invention, oxidizing agent is introduced in the chemical mechanical polishing stage, and the to-be processed SiC wafer can be provided with atomic step surface through three polishing processes of coarse polishing, fine polishing and chemical mechanical polishing.According to the polishing process, three processes are adopted, the polishing process of the SiC wafer is greatly simplified, and the cost is lowered; the process parameter of each process is fixed, so as to be beneficial to polishing and obtaining of consistency and stability of the wafer processing quality, and improve the rate of finished products; and furthermore, the duration of the whole process is within 10 hours, so that the polishing time is greatly shortened by compared with the conventional popular process.",B24B-037/07,Process,rpm,0.023347952
180,cmp,"US2012190200
WO2012103091
TW201245330
WO2012103091
TWI509022","
Abrasive free silicon chemical mechanical planarization","
A chemical mechanical planarization method uses a chemical mechanical planarization composition that includes at least one nitrogen containing material and a pH modifying material, absent an abrasive material.The nitrogen containing material may be selected from a particular group of nitrogen containing polymers and corresponding nitrogen containing monomers.The chemical mechanical planarization method and the chemical mechanical planarization composition provide for planarizing a silicon material layer, such as but not limited to a poly-Si layer, in the presence of a silicon containing dielectric material layer, such as but not limited to a silicon oxide layer or a silicon nitride layer, with enhanced efficiency provided by an enhanced removal rate ratio.",C08L-079/02,Slurry,compris aqueous solut,0.018383083
181,cmp,"WO2012102187
TW201235455
JP2012238831
SG191877
CN103339219
KR20140005963
US2014051250
CN103339219
JP5953762
US9447306","
Cmp polishing fluid, method for manufacturing same, method for manufacturing composite particle, and method for polishing base material","
This CMP polishing fluid contains water and abrasive particles, and the abrasive particles contain composite particles having a core, which includes a first particle, and a second particle provided on that core.The first particle contains silica, and the second particle contains cerium oxide.The pH of the CMP polishing fluid is 9.5 or less.",C09G-001/02,Slurry,st particl,0.074208851
182,cmp,"CN103205205
WO2013107279
TW201336950
CN103205205
TWI546353","
Alkaline chemical-mechanical polishing solution","
Provided is an alkaline chemical-mechanical polishing solution comprising abrasive particles, an azole compound, one or more C1-C4 quaternary ammonium base, an oxidant, water and a pH regulator.The pH value of the polishing solution is from 8 to 12.In alkaline polishing environment, the polishing solution can fulfill the requirements of the polishing rate and the selection ratio of various materials in the course of polishing the barrier layer and can show extreme ability of remedying the surface defect of semiconductor device.The evenness of surfaces is achieved rapidly, the work efficiency is improved, and the production cost is reduced.",C09G-001/02,Apparatus,defect semiconductor deviceth,0.007202857
183,cmp,KR20130077481,"
Chemical mechanical polishing apparatus and chemical mechanical polishing method using the same","
PURPOSE: A chemical mechanical polishing apparatus and a chemical mechanical polishing method using the same are provided to improve the surface quality of a wafer by performing a chemical mechanical polishing process on a silicon carbide wafer.CONSTITUTION: A mixture slurry (300) includes diamond slurry.The diamond slurry includes diamond particles.The size of the diamond particles is 100 nm or less.The mixture slurry further includes potassium hydroxide and hydrogen peroxide.The volume ratio of the diamond slurry to the mixture slurry is 1 to 5. [Reference numerals] (AA) Pressure",H01L-021/304,Slurry,mixtur slurri,0.121144302
184,cmp,"WO2013093556
TW201329215
SG11201403505U
CN103975001
KR20140107522
EP2794733
US2014326701
JP2015507356
US9157012
EP2794733
JP6035346
TWI570227","
Method for manufacturing cmp composition and application thereof","
Provided is a process for the manufacture of semiconductor devices comprising the chemical mechanical polishing of borophosphosilicate glass (BPSG) material in the presence of a chemical mechanical polishing (CMP) composition which comprises: (A) inorganic particles, organic particles, or a mixture or composite thereof, (B) at least one type of anionic phosphate or phosphonate as dispersing agent or charge reversal agent, (C) at least one type of surfactant, and (D) an aqueous medium.
 (From US9157012 B2)",C09K-003/14,Process,anion phosphat,0.043286339
185,cmp,"WO2013093557
TW201333132
IL232794
CN103998547
KR20140107447
SG11201403354R
EP2794790
JP2015506386
US2015159050
EP2794790
RU2014129612
IN5100/CHENP/2014
RU2598046
JP6013504
US9487675
TWI567147","
Chemical mechanical polishing composition comprising polyvinyl phosphonic acid and its derivatives","
A chemical mechanical polishing (CMP) composition comprising: (A) inorganic particles, organic particles, or a mixture or composite thereof, (B) at least one type of an organic polymeric compound as a dispersing agent or charge reversal agent comprising a phosphonate (P(ùùO)(OR1)(OR2) or phosphonic acid (P(ùùO)(OH)2) moiety or their deprotonated forms as pendant groups, wherein R1 is alkyl, aryl, alkylaryl, or arylalkyl, R2 is H, alkyl, aryl, alkylaryl, or arylalkyl, and (C) an aqueous medium.
 (From US9487675 B2)",C09G-001/02,Process,phosphon,0.041421836
186,cmp,"KR20130068820
KR101284047","
Cmp pad conditioner and method of manufacturing the same","
PURPOSE: A CMP(Chemical Mechanical Polishing) pad conditioner and a manufacturing method thereof are provided to basically prevent a substrate from being bent and diamond of the conditioner from being separated by forming the CMP pad conditioner using a selective deposition method.CONSTITUTION: A diamond thin film(12) is formed on a substrate(11).A mask(30) having an opening part(35) in a matrix type is placed on the diamond thin film.The mask is made of one selected from molybdenum, tungsten and graphite.A protrusion part(15) comprising diamond(40) is formed on the diamond thin film.The mask is removed.",H01L-021/304,Dresser,diamond thin,0.053883158
187,cmp,"CN103160207
WO2013086775
TW201326378
TWI580766","
Chemical mechanical polishing slurry for metal and application thereof","
Disclosed are a chemical mechanical polishing slurry for copper and application thereof.The slurry comprises an abrasive particle, a complexing agent, an oxidant, a corrosion inhibitor and at least one of phosphate type surfactant.The use of the chemical mechanical polishing slurry can keep a high copper removal rate, and improve dishing dent and over polishing window of polished copper line.The slurry can improve the following detects such as few contaminants on the surface of the polished copper and no corrosion on it.",C09K-003/14,Slurry,phosphin acid,0.034290546
188,cmp,"WO2012088004
US2012171935
WO2012088004
AU2011349393
SG190811
CN103269831
EP2655015
KR20130132480
JP2014504458
JP6022477
AU2011349393","
Cmp pad conditioning tool","
The present disclosure provides a CMP pad conditioning tool with at least one integral abrasive protrusion.The present disclosure further provides a method for preparing this CMP pad conditioning tool, along with a method for using said tool to condition a CMP pad.
 (From US2012171935 A1)",B24D-018/00,Dresser,pad condit tool,0.056214127
189,cmp,"JP2013123771
JP6014835","
Cmp pad conditioner, and method for manufacturing the same","
PROBLEM TO BE SOLVED: To improve corrosion resistance and wear resistance of a CMP pad conditioner, and enhance a holding force of abrasive grains.SOLUTION: The CMP pad conditioner 1 includes a plurality of abrasive grains 4 held by a nickel plating layer 11.The nickel plating layer 11 is coated by an amorphous chromium plating layer 12 containing at least an amorphous structure.",B24B-053/12,Dresser,cmp pad condition,0.028577398
190,cmp,"TW201227821
US2012329279
TWI459456
US8906123
US2015050809
US9224614","
CMP slurry/method for polishing ruthenium and other films","
A method and associated composition for CMP processing of noble metal-containing substrates (such as ruthenium-containing substrates) afford both high removal rates of the noble metal and are tunable with respect to rate of noble metal removal in relation to removal of other films.Low levels of an oxidizing agent containing one or more peroxy-functional group(s) can be used along with a novel ligand to effectively polish noble metal substrates.",H01L-021/306,Process,rang weight weight,0.030182959
191,cmp,JP2013120885,"
Cmp polishing liquid and polishing method using this polishing liquid","
PROBLEM TO BE SOLVED: To provide a CMP polishing liquid which provides high polishing speed for a barrier film, has preferable dispersion stability of abrasive grains, and enables polishing of a low-k film at high polishing speed.SOLUTION: The CMP polishing liquid at least contains (A) a quaternary phosphonium salt compound represented by the general formula (1), (B) abrasive grains with negative charge, (C) a metal oxide solvent, and (D) an oxidant. , Rto Rrepresent an alkyl group having a benzene ring, or a linear or branched alkyl group with the carbon number 4 or less, Rrepresents a linear or branched alkyl group with the carbon number 4 or less, and Xrepresents an anion.)",H01L-021/304,Slurry,grind liquid cmp,0.031448934
192,cmp,CN102509705,"
Repair method for damaged superlow dielectric constant thin film subjected to chemical mechanical polishing","
The invention provides a repair method for a damaged superlow dielectric constant thin film subjected to CMP (Chemical Mechanical Polishing), which comprises the following steps: a first dielectric resistor barrier and a first dielectric layer are sequentially deposited on a basal layer form top to bottom, and a first groove is formed in the first dielectric resistor barrier and the first dielectric layer through the etching technology; after diffusion restraining barriers are arranged on the side wall of the first groove and the surface of the first dielectric layer, and then metal is filled so as to form a first groove electrocoppering; the above structure is subjected to the CMP technology which is suspended on the surface of the first dielectric layer; the moisture of the above structure is removed through preheating treatment; and the surface of the structure is subjected to the original position plasma technology through the reducing gas combination, and then a second dielectric resistor barrier is started depositing.According to the repair method provided by the invention, the damage of the superlow dielectric constant thin film subjected to the CMP is reduced.",H01L-021/3105,Apparatus,plasma process,0.012740797
193,cmp,"JP2012069976
JP5418571","
Cmp polishing agent and method for polishing substrate","
PROBLEM TO BE SOLVED: To provide a polishing agent capable of improving particle removal performance in cleaning after polishing and reducing polishing scratches, and a method for polishing a substrate using the polishing agent.SOLUTION: A CMP polishing agent for removing an excess silicon oxide film contains cerium oxide particles, a water-soluble polymer, a complex forming agent with cerium selected from £]-diketone, and water, and has a concentration of the complex forming agent with cerium of 0.1 wt.% or more and 10.0 wt.% or less.",H01L-021/304,Slurry,abras statement grind,0.023711483
194,cmp,"US2013095644
US8975179","
Planarization process for semiconductor device fabrication","
The present disclosure provides a method of semiconductor fabrication including forming a dielectric layer is formed on and interposing a first feature and a second feature.A first CMP process is performed on the dielectric layer to removing the dielectric layer from a top surface of the first feature to expose an underlying layer and decreasing a thickness of the dielectric layer disposed on a top surface of the second feature such that a portion of the dielectric layer remains disposed on the top surface of the second feature.Thereafter, a second CMP process is performed which removes the dielectric layer remaining on the top surface of the second feature.",H01L-021/4763,Apparatus,detect under,0.003787309
195,cmp,"WO2012046183
EP2625237
US2013217231
KR20130133181
EP2625237","
Chemical mechanical polishing (cmp) composition","
A chemical mechanical polishing (CMP) composition Abstract Use of a chemical mechanical polishing (CMP) composition comprising (A) inorganic particles, organic particles, or a mixture thereof, (B) a heteropolyacid or a salt thereof, (C) a salt comprising chloride, fluoride, bromide, or a mixture thereof as anion, and (D) an aqueous medium, for polishing a substrate comprising a self-passivating metal, germanium, nickel phosphorous (NiP), or a mixture thereof.
 (From US2013217231 A1)",C09G-001/02,Apparatus,devic compris polish,0.017015445
196,cmp,"WO2012046185
TW201219518
US2013189842
EP2625241
KR20130116262
EP2625241
US8927429
TWI521028","
Chemical mechanical polishing (cmp) composition comprising a specific heteropolyacid","
A chemical mechanical polishing (CMP) composition comprising a specific heteropolyacid Abstract A chemical-mechanical polishing (CMP) composition comprising: (A) inorganic particles, organic particles, or a mixture thereof, (B) a heteropolyacid of the formula HaXbPsMOyVzOc wherein X=any cation other than H 8<y<18 8<z<14 56<c<105 a+b=2c?6y?5(3+z) b>0 and a>0 (formula I) or a salt thereof, and, (C) an aqueous medium.
 (From US8927429 B2)",C09G-001/02,Slurry,heteropolyacid,0.126868853
197,cmp,JP2013069929,"
Additive liquid for cmp polishing liquid, cmp polishing liquid, method for polishing substrate, and electronic component","
PROBLEM TO BE SOLVED: To provide an additive liquid for a CMP polishing liquid which hardly generates an organic residue on the surface of a substrate after polishing, and to provide a CMP polishing liquid capable of reducing the number of occurred defects to improve throughput of semiconductor device production.SOLUTION: The additive liquid for the CMP polishing liquid contains at least one type of an organic residue inhibitor selected from the group of alcohols and phenols, a polycarboxylic acid of which the content is 0.1 mass% or more, and water.",H01L-021/304,Slurry,addit liquid cmp,0.089302494
198,cmp,TW201311874,"
Chemical mechanical polishing liquid","
This invention relates to a chemical mechanical polishing liquid, comprising grinding particles, an oxidant, amino acids, a quaternary ammonium base and the water, wherein the pH value of the chemical mechanical polishing liquid belongs to alkaline, such that the polishing liquid can achieve a very high polishing speed to both the silicon and the copper in an alkaline polishing environment.",C09K-003/14,Slurry,polish solut request,0.116311053
199,cmp,"TW201311840
TWI438253","
Chemistry mechanical polishing solution","
The present invention relates to a chemical mechanical polishing liquid containing: grinding particles, halogen-containing oxidant, organic amine, ethylene diamine tetraectic acid (EDTA) and pH adjuster.The chemical mechanical polishing liquid has an alkaline pH and can realize having a very high polishing rate for silicon and copper in the alkaline polishing condition.In addition, amino acid can be further added into the polishing liquid to keep the removal rate of silicon and cooper stable.",C09G-001/02,Slurry,polish solut request,0.134121183
200,cmp,EP2568024,"
A chemical mechanical polishing (cmp) composition comprising a glycoside","
A chemical mechanical polishing (CMP) composition comprising (A) inorganic particles, organic particles, or a mixture or composite thereof, (B) a glycoside of the formulae 1 to 6 wherein R 1 is alkyl, aryl, or alkylaryl, R 2 is H, X1, X2, X3, X4, X5, X6, alkyl, aryl, or alkylaryl, R 3 is H, X1, X2, X3, X4, X5, X6, alkyl, aryl, or alkylaryl, R 4 is H, X1, X2, X3, X4, X5, X6, alkyl, aryl, or alkylaryl, R 5 is H, X1, X2, X3, X4, X5, X6, alkyl, aryl, or alkylaryl, and the total number of monosaccharide units (X1, X2, X3, X4, X5, or X6) in the glycoside is in the range of from 1 to 20, and (C) an aqueous medium.",C09G-001/02,Apparatus,devic compris chemic,0.009488845
201,cmp,"DE102012015825
US2013045598
FR2979069
KR20130020587
JP2013042131
TW201313851
CN103042464
FR2979069
US8865013
CN103042464
TWI550044","
Method for chemical mechanical polishing tungsten","
A method for chemical mechanical polishing of a substrate comprising tungsten using a nonselective chemical mechanical polishing composition.",C09G-001/02,Process,speed revolut,0.023565764
202,cmp,"DE102012015824
US2013045599
FR2979071
KR20130020585
JP2013042132
CN102950537
TW201320173
CN102950537
FR2979071
JP6041095","
Method for chemical mechanical polishing copper","
A method for chemical mechanical polishing of a copper substrate, is provided, comprising: providing a copper substrate; providing slurry composition comprising, as initial components: water; 0.1 to 20 wt % abrasive; 0.01 to 15 wt % complexing agent; 0.02 to 5 wt % inhibitor; 0.01 to 5 wt % phosphorus containing compound; 0.001 to 3 wt % polyvinyl pyrrolidone; >0.1 to 1 wt % histidine; >0.1 to 1 wt % guanidine; optional oxidizing agent; optional leveling agent; optional biocide; and, optional pH adjusting agent; wherein the slurry composition provided has pH of 9 to 11; providing a chemical mechanical polishing pad with a polishing surface; dispensing the slimy composition onto the polishing surface at or near the interface between the polishing surface and the substrate; and, creating dynamic contact at an interface between the polishing surface and the substrate with a down force of 0.69 to 34.5 kPa; wherein the substrate is polished.",H01L-021/304,Process,phosphorus compound,0.019974833
203,cmp,JP2013038237,"
Cmp polishing liquid and polishing method","
PROBLEM TO BE SOLVED: To provide a CMP polishing liquid and a polishing method which can dramatically reduce the number of abrasion scratches while keeping a good polishing speed.SOLUTION: The CMP polishing liquid has pH less than or equal to 4 and contains abrasive grains, a metal oxide solubilizer, an oxidizer and water.The secondary particle size of the abrasive grains ranges between 10 nm and 200 nm.As the particle size distribution measurement, the light-scattering method gives the number of particles of less than 1000 particles/ml with a particle size greater than or equal to 0.56 £gm and less than 0.64 £gm, and the light-blocking method gives the number of particles of less than 600 particles/ml with a particle size greater than or equal to 0.64 £gm and less than 0.79 £gm.",H01L-021/304,Process,phosphonium,0.040048857
204,cmp,JP2013038211,"
Polishing liquid for cmp and polishing method using the same","
PROBLEM TO BE SOLVED: To provide a polishing liquid for CMP, which is capable of achieving both high uniformity and a high polishing speed in chemical mechanical polishing (CMP) of a silicon oxide film, and to provide a polishing method using the same.SOLUTION: The polishing liquid for CMP contains abrasive grains, a first additive, a second additive, and water.An organic compound satisfying predetermined conditions is blended as the first additive, and a saturated monocarboxylic acid is blended as the second additive.The method for polishing a substrate having a silicon oxide film on a surface thereof comprises a step of polishing the silicon oxide film by a polishing pad while supplying the polishing liquid for CMP between the silicon oxide film and the polishing pad.",H01L-021/304,Slurry,grind liquid statement,0.02983674
205,cmp,JP2012054545,"
Cmp liquid and method of manufacturing the same, as well as polishing method using cmp liquid","
PROBLEM TO BE SOLVED: To provide a method of manufacturing a CMP liquid which can suppress generation of polishing scratches while suppressing decrease of a polishing rate.SOLUTION: The method of manufacturing a CMP liquid includes a filtering process which filters a dispersing liquid containing cerium oxide particles, a dispersant and water, with a filtration rate less than 75 L/(min x m).",H01L-021/304,Slurry,cmp grind liquid,0.061643427
206,cmp,EP2554613,"
A process for the manufacture of semiconductor devices comprising the chemical mechanical polishing of elemental germanium and/or si1-xgex material in the presence of a cmp composi-tion comprising a specific organic compound","
A process for the manufacture of semiconductor devices comprising the chemical mechanical polishing of elemental germanium and/or Si 1-xGe x material with 0.1 <= x < 1 in the presence of a chemical mechanical polishing (CMP) composition comprising: (A) inorganic particles, organic particles, or a mixture or composite thereof, (B) at least one type of an oxidizing agent, (C) at least one type of an organic compound which comprises at least {k} moieties (Z), but excluding salts whose anions are inorganic and whose only organic cation is [NR **11R **12R **13R **14] **+, wherein {k} is 1, (Z) is a hydroxyl (-OH), alkoxy (-OR **1), heterocyclic alkoxy (-OR **1 as part of a heterocyclic structure), carboxylic acid (-COOH), carboxylate (-COOR **2), amino (-NR **3R **4), heterocyclic amino (-NR **3R **4 as part of a heterocyclic structure), imino (=N-R **5 or -N=R **6), heterocyclic imino (=N-R **5 o r -N=R **6 as part of a heterocyclic structure), phosphonate (-P(=O)(OR **7)(OR **8) ), phosphate (-OP(=O)(OR **9)(OR **10) ), phosphonic acid (-P(=O)(OH) 2), phosphoric acid (-O-P(=O)(OH) 2) moiety, or their protonated or deprotonated forms, R **1, R **2, R **7, R **9 is - independently from each other - alkyl, aryl, alkylaryl, or arylalkyl, R **3, R **4, R **5, R **8, R **10 is - independently from each other - H, alkyl, aryl, alkylaryl, or arylalkyl, R **6 is alkylene, or arylalkylene, R **11 R **12, R **13 is - independently from each other - H, alkyl, aryl, alkylaryl, or arylalkyl, and R **11, R **12, R **13 does not comprise any moiety (Z), R **14 is alkyl, aryl, alkylaryl, or arylalkyl, and R **14 does not comprise any moiety (Z), and (D) an aqueous medium.",C09G-001/02,Process,process claim,0.022727114
207,cmp,EP2554612,"
A process for the manufacture of semiconductor devices comprising the chemical mechanical polishing of elemental germanium and/or Si1-xGex material in the presence of a CMP composi-tion having a pH value of 3.0 to 5.5","
A process for the manufacture of semiconductor devices comprising the chemical mechanical polishing of elemental germanium and/or Si 1-xGe x material with 0.1 <= x < 1 in the presence of a chemical mechanical polishing (CMP) composition having a pH value in the range of from 3.0 to 5.5 and comprising: (A) inorganic particles, organic particles, or a mixture or composite thereof, (B) at least one type of an oxidizing agent, and (C) an aqueous medium.",C09G-001/02,Process,total weight cmp,0.045241332
208,cmp,CN102898950,"
Chemical mechanical polishing solution","
The invention discloses a chemical mechanical polishing solution, which includes: water, a grinding agent, a compound able to generate silver ions, and a crown ether.The polishing solution provided in the invention has significantly improved stability to visible light, and can maintain a long-term stable polishing performance.",C09G-001/02,Slurry,polish liquid character,0.1299807
209,cmp,"CN102623327
US2012196443
CN102623327","
Chemical mechanical polishing method","
A Chemical Mechanical Polishing (CMP) method includes providing a semiconductor substrate having an overlying dielectric layer, performing a first grinding on the dielectric layer, wherein the first grinding produces organic residues on a surface of the dielectric layer after the first grinding.The method further includes performing a second grinding on the dielectric layer by using an alkaline solution to remove the organic residues on the surface of the dielectric layer.The organic residues remaining on the surface of the dielectric layer are removed by using the alkaline solution after the first grinding process is performed.The method additionally includes cleaning a grinding pad and the substrate using deionized water.",H01L-021/3105,Slurry,alkalin solut,0.096426994
210,cmp,CN102337082,"
Water-based 6H-SiC monocrystalline substrate chemical mechanical polishing (CMP) solution and preparation method thereof","
The invention discloses a 6H-SiC single chip global planar chemical mechanical polishing (CMP) solution.In the solution, spherical micro-nano particles are taken as grinding materials.The solution comprises the following components in percentage by weight: 0.2-10 percent of 1-3 types of spherical particles of 10-250 nanometers serving as grinding materials, 0.05-15 percent of dispersion stabilizer, 0.05-25 percent of additive having a chemical function, 0.001-5 percent of lubricating, a pH regulator for regulating the pH value to 9.5-13.5 and the balance of high-purity deionized water.The polishing solution has the advantages of controllable removing rate, no damage to a chip after polishing, high flatness, low price and low cost, and can be applied to the CMP process of hard and brittle crystal materials and precision CMP of other optical materials.",C09G-001/02,Apparatus,ultrason,0.01140947
211,cmp,"CN102304327
CN102516875
WO2013003991
WO2013003991
EP2592122
US2013140273
KR20130132389
CN102516875
EP2592122
JP2014509064
KR101439797","
Polishing liquid for polishing process based on metal co and use thereof","
The present invention discloses a slurry for chemical mechanical polishing of Co.The slurry comprises components by weight as follows, Inhibitor 0.01-2%, Oxidant 0-5%, Abrasive 0.1-10%, Complexing agent 0.001-10%, and the rest of water.The pH value of the slurries is adjusted to 3-5 by pH value adjustor.The inhibitor is chosen from one or more kinds of five-membered heterocycle compound containing S and N atoms or containing S or N atom.The oxidant is chosen one or more from H 2 O 2 , (NH 4 ) 2 S 2 O 8 , KIO 4 , KClO 5 .The abrasive is chosen one or more from SiO 2 , CeO 2 , and Al 2 O 3 .The complexing agent is chosen one or more from amino acid and citric acid.The slurry in the present invention can effectively prevent Co over corrosion and reduce the polishing rate of Co in the polishing process.",C09G-001/02,Slurry,slurri chemic mechan,0.064754354
212,cmp,"JP2012039094
JP5839163","
Chemical mechanical polishing pad and chemical mechanical polishing method","
PROBLEM TO BE SOLVED: To provide a chemical mechanical polishing pad capable of maintaining proper polishing characteristics even when exposed to slurry over a long time, and a chemical mechanical polishing method using the chemical mechanical polishing pad.SOLUTION: A chemical mechanical polishing pad relating to the present invention is equipped with a polishing layer.Recesses are provided in a surface for use in the polishing of the polishing layer.When the polishing layer is immersed in water at 23¢XC for an hour, an average opening ratio of an inner surface of the recess is in the range of 0.01-0.5%.",H01L-021/304,Pad,machin grind pad,0.051258492
213,cmp,"JP2012039093
JP5839162","
Chemical mechanical polishing pad, method for manufacturing the same, and chemical mechanical polishing method","
PROBLEM TO BE SOLVED: To provide a chemical mechanical polishing pad having excellent storage stability, a method for manufacturing the same, and a chemical mechanical polishing method using the chemical mechanical polishing pad.SOLUTION: The chemical mechanical polishing pad according to the present invention is a chemical mechanical polishing pad comprising a polishing layer, whose surface subjected to polishing has a silicon atom concentration or fluorine atom concentration of 0.5 to 10 atom% calculated by elemental analysis using x-ray photoelectron spectroscopy (XPS).",H01L-021/304,Pad,machin grind pad,0.048991646
214,cmp,"US2012003759
WO2012012052
TW201206630
WO2012012052
CN102725106
JP2013529860
KR20130088740","
Endpoint control during chemical mechanical polishing by detecting interface between different layers through selectivity change","
Embodiments described herein relate to methods of detecting an endpoint for a target substrate during chemical mechanical polishing process.In one embodiment, the method includes polishing one or more target substrates at a first film removal rate to provide reference spectra, polishing one or more target substrates at a second film removal rate to provide current spectra of the one or more target substrates, wherein the second film removal rate is different from the first film removal rate, identifying an interface transition between different layers formed on the one or more target substrates using a sequence of endpoint values obtained based on the reference spectra collected during polishing of the one or more reference substrates.",H01L-021/304,Apparatus,detect endpoint target,0.021691745
215,cmp,"TW201201962
WO2012008252
JP5062455
US2013189907
KR20130124281
US8944888
TWI537098","
Chemical-mechanical polishing pad and chemical-mechanical polishing method","
Disclosed is a chemical-mechanical polishing pad provided with a polishing layer, wherein recesses are disposed on the surface of the polishing layer for polishing.The polishing layer: has a surface layer section that contains at least the inner surfaces of the recesses; and is characterized in that the ratio (D1/D2) of the average opening ratio (D1) (%) in the inner surfaces of the recesses when the polishing layer is immersed in 23¢XC water for one hour to the average opening ratio (D2) (%) in a cross section when the cross section, defined by cutting the polishing layer in a plane that does not intersect with the surface layer section, is immersed in 23¢XC water for one hour is 0.01 to 0.5.",B24B-037/26,Pad,machin grind pad,0.052447095
216,cmp,"CN102816530
WO2012167607
TW201249976
SG195120
KR20140049985
TWI510605
CN102816530","
Chemical-mechanical polishing liquid","
A chemical-mechanical polishing liquid comprising: polishing particles, water, an azole compound, and piperazine.The polishing liquid enables high-speed polishing of silicon, and the system has high stability and low comprehensive cost for semi-conductor processing.",H01L-021/304,Slurry,solut station characterist,0.095809979
217,cmp,CN102816531,"
Chemical-mechanical polishing slurry used for polishing copper","
The invention provides chemical-mechanical polishing slurry used for polishing copper.The chemical-mechanical polishing slurry comprises grinding particles, an oxidant, a corrosion inhibitor and a polishing rate increasing agent, wherein the polishing rate increasing agent is one or more guanidine compounds having one or more H2N-(C=NH)-NH- group structures.The chemical-mechanical polishing slurry has relatively high copper-removing speed in a metal-polishing process, can meet TSV high-speed polishing requirements, does not produce local and overall corrosion basically while production is increased, and has no surface defects of a substrate, scratches, sticky dirt and other residual pollutants.",C09G-001/02,Slurry,polish slurri character,0.102718039
218,cmp,"JP2012253259
JP5913839","
Polishing method and acidic polishing solution","
PROBLEM TO BE SOLVED: To provide a CMP polishing processing method capable of achieving a high polishing rate by CMP polishing processing and obtaining a good polished surface using a novel acidic polishing solution.SOLUTION: A method for polishing a SiC wafer in CMP polishing processing includes a step for holding one surface of the wafer by a holding member, a step for making a fixed abrasive grain polishing pad having multiple grooves for releasing a polishing solution in contact with the other surface of the wafer, and a polishing step in which, while rotating the polishing pad and the wafer respectively, the polishing pad and the wafer are relatively pressed to each other at a pressure of 0.8 to 1.5 kgf/cmto be slid.In the polishing step, an acidic polishing solution made by mixing potassium permanganate (KMnO) and an oxidizing inorganic salt is used.By polishing the wafer with the fixed abrasive grain polishing pad and the acidic polishing solution, a high polishing rate can be achieved and a good polished surface can be obtained, and thus, productivity can be improved.",H01L-021/304,Slurry,fix abras grain,0.056689321
219,cmp,KR101144168,"
Method for manufacturing of cmp pad conditioner","
PURPOSE: A method for a chemical mechanical polishing pad conditioner is provided to prevent a delamination phenomenon of a diamond thin film layer and a collapse phenomenon of pattern while accomplishing enlargement of the chemical mechanical polishing pad conditioner.CONSTITUTION: A pattern is formed on a substrate(S01).The size of length and width of the pattern is less than 30micrometers x 30micrometers.The substrate is pre-processed with pretreatment solution for 60 to 70 second(S02).The pretreatment solution contains sulfuric acid of 20 weight% to 30 weight%.A diamond thin film layer is formed on the pattern of the pre-processed substrate(S03).The diamond thin film layer is evaporated on the processed substrate by a CVD(Chemical Vapor Deposition) method.",H01L-021/304,Dresser,pad condition manufactur,0.048072489
